target,tissue,cell_type,cells,nCPM,MW_kDa,bulk_ppm,local_ppm,nM_concentration
EGFR,Brain,Brain excitatory neurons,61656,3.5,134.277,3.18,0.104,0.2184
EGFR,Brain,Brain inhibitory neurons,46037,82.4,134.277,3.18,2.547,5.348700000000001
EGFR,Brain,Other brain neurons,4224,2.4,134.277,3.18,0.072,0.1512
EGFR,Brain,Astrocytes,7667,308.9,134.277,3.18,9.415,19.7715
EGFR,Brain,Bergmann glia,7533,389.0,134.277,3.18,11.943,25.0803
EGFR,Brain,Oligodendrocyte progenitor cells,7731,199.3,134.277,3.18,6.144,12.9024
EGFR,Brain,Oligodendrocytes,9947,8.8,134.277,3.18,0.27,0.5670000000000001
EGFR,Brain,Microglia,6999,1.8,134.277,3.18,0.055,0.1155
EGFR,Brain,Ependymal cells,3502,63.5,134.277,3.18,1.899,3.9879000000000002
EGFR,Brain,Choroid plexus epithelial cells,6023,103.5,134.277,3.18,3.175,6.6674999999999995
EGFR,Brain,Vascular endothelial cells,2269,255.0,134.277,3.18,7.716,16.2036
EGFR,Brain,Pericytes,1166,210.2,134.277,3.18,6.331,13.295100000000001
EGFR,Brain,Vascular smooth muscle cells,263,139.3,134.277,3.18,4.237,8.8977
EGFR,Brain,Fibroblasts,3214,125.3,134.277,3.18,3.783,7.9443
EGFR,Brain,Monocytes,136,2.3,134.277,3.18,0.07,0.14700000000000002
EGFR,Brain,Macrophages,249,28.5,134.277,3.18,0.854,1.7934
EGFR,Brain,T-cells,999,4.2,134.277,3.18,0.126,0.2646
EGFR,Brain,B-cells,38,0.0,134.277,3.18,0.0,0.0
EGFR,Brain,NK-cells,285,0.0,134.277,3.18,0.0,0.0
EGFR,Lung,Respiratory ciliated cells,553,95.3,134.277,15.0,6.854,14.393400000000002
EGFR,Lung,Respiratory deuterosomal cells,31,243.6,134.277,15.0,17.821,37.4241
EGFR,Lung,Alveolar cells type 1,2608,551.0,134.277,15.0,42.403,89.0463
EGFR,Lung,Alveolar cells type 2,8222,189.5,134.277,15.0,14.129,29.6709
EGFR,Lung,Transitional alveolar cells,1176,190.7,134.277,15.0,14.106,29.622600000000002
EGFR,Lung,Respiratory ionocytes,31,729.0,134.277,15.0,56.301,118.2321
EGFR,Lung,Respiratory basal cells,1332,935.5,134.277,15.0,75.375,158.2875
EGFR,Lung,Submucosal glandular cells,116,292.4,134.277,15.0,22.056,46.317600000000006
EGFR,Lung,Respiratory secretory cells,607,296.2,134.277,15.0,22.027,46.2567
